Date,tmax,tmin,precip
2026-06-19,,,
2026-06-20,,,
2026-06-21,,,
2026-06-22,,,
2026-06-23,,,
2026-06-24,,,
2026-06-25,,,
2026-06-26,,,
2026-06-27,,,
2026-06-28,,,
2026-06-29,,,
2026-06-30,,,
2026-07-01,,,
2026-07-02,,,
2026-07-03,,,
2026-07-04,,,
2026-07-05,,,
2026-07-06,,,
2026-07-07,,,
2026-07-08,,,
2026-07-09,34.7,21.6,
2026-07-10,30.5,21.6,0.0
2026-07-11,29.2,18.6,0.0
2026-07-12,29.2,16.6,0.0
2026-07-13,26.6,14.7,0.0
2026-07-14,29.6,16.1,0.0
2026-07-15,28.4,17.4,0.0
2026-07-16,28.5,16.5,0.0
2026-07-17,27.8,15.8,0.0
2026-07-18,22.9,15.7,0.0
2026-07-19,23.0,13.4,0.0
2026-07-20,26.0,12.6,0.0
2026-07-21,22.9,14.9,0.0
2026-07-22,27.2,15.6,0.0
2026-07-23,26.3,16.9,0.0
2026-07-24,28.0,18.0,0.0
2026-07-25,28.8,17.3,0.0
2026-07-26,25.8,18.6,0.1
2026-07-27,26.9,16.6,0.0
2026-07-28,29.2,19.0,0.0
2026-07-29,33.7,19.7,0.0
2026-07-30,27.7,19.4,0.0
2026-07-31,25.7,17.1,0.0
2026-08-01,25.9,16.3,0.0
2026-08-02,27.0,16.6,0.0
2026-08-03,30.6,18.5,0.0
2026-08-04,29.6,20.0,0.0
2026-08-05,24.8,18.9,1.0
2026-08-06,22.3,14.4,0.0
2026-08-07,25.9,14.1,0.0
2026-08-08,28.1,15.7,0.0
2026-08-09,31.6,18.3,0.0
2026-08-10,26.4,18.9,0.0
2026-08-11,25.2,16.9,0.0
2026-08-12,32.3,18.1,0.0
2026-08-13,35.8,19.8,0.0
2026-08-14,34.0,22.9,0.0
2026-08-15,27.1,20.6,0.0
2026-08-16,26.5,18.3,0.0
2026-08-17,27.3,19.5,0.0
2026-08-18,25.4,19.1,0.0
2026-08-19,25.0,16.8,1.5
2026-08-20,23.0,16.0,1.5
2026-08-21,21.7,14.4,0.0
2026-08-22,21.8,12.5,0.0
2026-08-23,24.1,13.7,0.0
2026-08-24,22.0,13.5,0.0
2026-08-25,25.0,15.9,0.0
2026-08-26,26.4,18.5,0.5
2026-08-27,25.2,19.0,4.2
2026-08-28,24.0,15.8,1.1
2026-08-29,20.0,17.5,3.2
2026-08-30,22.2,16.6,0.0
2026-08-31,22.6,14.9,1.9
2026-09-01,22.9,13.7,0.0
2026-09-02,21.0,16.7,1.5
2026-09-03,25.7,18.9,0.0
2026-09-04,20.9,16.3,0.8
2026-09-05,23.0,12.8,0.0
2026-09-06,26.6,15.7,0.0
2026-09-07,24.2,17.9,0.0
2026-09-08,18.5,14.3,20.5
2026-09-09,19.3,11.9,0.0
2026-09-10,20.2,14.0,0.0
2026-09-11,21.6,16.1,1.3
2026-09-12,23.6,13.3,0.1
2026-09-13,22.7,18.3,1.1
2026-09-14,24.6,18.1,1.7
2026-09-15,22.4,16.7,0.0
2026-09-16,19.9,13.5,0.0
2026-09-17,20.7,13.9,1.4
2026-09-18,20.0,11.6,0.6
2026-09-19,22.1,17.1,0.0
2026-09-20,20.0,16.6,0.0
2026-09-21,21.2,13.7,0.0
2026-09-22,21.2,14.7,0.0
2026-09-23,21.6,14.2,0.0
2026-09-24,19.5,10.7,0.0
2026-09-25,24.1,14.5,0.0
2026-09-26,19.4,14.3,0.0
2026-09-27,22.0,11.7,0.0
2026-09-28,21.5,15.2,0.6
2026-09-29,26.8,15.7,0.0
