Date,value
2026-06-23,0
2026-06-24,0
2026-06-25,40
2026-06-26,0
2026-06-27,53
2026-06-28,61
2026-06-29,0
2026-06-30,42
2026-07-01,49
2026-07-02,0
2026-07-03,0
2026-07-04,59
2026-07-05,63
2026-07-06,41
2026-07-07,0
2026-07-08,46
2026-07-09,0
2026-07-10,64
2026-07-11,0
2026-07-12,0
2026-07-13,0
2026-07-14,0
2026-07-15,0
2026-07-16,40
2026-07-17,0
2026-07-18,0
2026-07-19,0
2026-07-20,0
2026-07-21,0
2026-07-22,43
2026-07-23,100
2026-07-24,0
2026-07-25,0
2026-07-26,0
2026-07-27,0
2026-07-28,0
2026-07-29,0
2026-07-30,0
2026-07-31,0
2026-08-01,0
2026-08-02,64
2026-08-03,0
2026-08-04,0
2026-08-05,0
2026-08-06,0
2026-08-07,0
2026-08-08,45
2026-08-09,0
2026-08-10,0
2026-08-11,0
2026-08-12,0
2026-08-13,0
2026-08-14,43
2026-08-15,0
2026-08-16,0
2026-08-17,0
2026-08-18,41
2026-08-19,53
2026-08-20,0
2026-08-21,0
2026-08-22,0
2026-08-23,0
2026-08-24,0
2026-08-25,0
2026-08-26,0
2026-08-27,0
2026-08-28,0
2026-08-29,0
2026-08-30,0
2026-08-31,0
2026-09-01,0
2026-09-02,0
2026-09-03,0
2026-09-04,0
2026-09-05,0
2026-09-06,0
2026-09-07,0
2026-09-08,0
2026-09-09,21
2026-09-10,24
2026-09-11,26
2026-09-12,40
2026-09-13,43
2026-09-14,25
2026-09-15,21
2026-09-16,23
2026-09-17,25
2026-09-18,26
2026-09-19,60
2026-09-20,62
2026-09-21,28
2026-09-22,24
2026-09-23,18
