Date,value
2026-05-29,338
2026-05-30,312
2026-05-31,285
2026-06-01,339
2026-06-02,352
2026-06-03,402
2026-06-04,311
2026-06-05,324
2026-06-06,293
2026-06-07,359
2026-06-08,340
2026-06-09,304
2026-06-10,299
2026-06-11,285
2026-06-12,317
2026-06-13,296
2026-06-14,394
2026-06-15,300
2026-06-16,303
2026-06-17,299
2026-06-18,321
2026-06-19,374
2026-06-20,292
2026-06-21,299
2026-06-22,315
2026-06-23,315
2026-06-24,347
2026-06-25,291
2026-06-26,334
2026-06-27,314
2026-06-28,287
2026-06-29,329
2026-06-30,339
2026-07-01,271
2026-07-02,313
2026-07-03,280
2026-07-04,277
2026-07-05,290
2026-07-06,256
2026-07-07,242
2026-07-08,313
2026-07-09,289
2026-07-10,274
2026-07-11,293
2026-07-12,262
2026-07-13,290
2026-07-14,284
2026-07-15,267
2026-07-16,312
2026-07-17,288
2026-07-18,333
2026-07-19,259
2026-07-20,253
2026-07-21,284
2026-07-22,335
2026-07-23,323
2026-07-24,289
2026-07-25,272
2026-07-26,269
2026-07-27,350
2026-07-28,278
2026-07-29,318
2026-07-30,296
2026-07-31,275
2026-08-01,239
2026-08-02,322
2026-08-03,290
2026-08-04,314
2026-08-05,270
2026-08-06,301
2026-08-07,244
2026-08-08,286
2026-08-09,273
2026-08-10,245
2026-08-11,262
2026-08-12,262
2026-08-13,239
2026-08-14,276
2026-08-15,264
2026-08-16,299
2026-08-17,300
2026-08-18,300
2026-08-19,296
2026-08-20,274
2026-08-21,252
2026-08-22,281
2026-08-23,217
2026-08-24,289
2026-08-25,326
2026-08-26,274
2026-08-27,272
2026-08-28,281
2026-08-29,272
2026-08-30,252
2026-08-31,280
2026-09-01,299
2026-09-02,303
2026-09-03,281
2026-09-04,307
2026-09-05,274
2026-09-06,281
2026-09-07,269
2026-09-08,304
2026-09-09,340
2026-09-10,310
2026-09-11,282
2026-09-12,280
2026-09-13,289
2026-09-14,334
2026-09-15,361
2026-09-16,324
2026-09-17,343
2026-09-18,565
2026-09-19,337
2026-09-20,322
2026-09-21,413
2026-09-22,342
2026-09-23,394
2026-09-24,382
2026-09-25,276
