Date,value
2026-05-26,51
2026-05-27,47
2026-05-28,71
2026-05-29,54
2026-05-30,41
2026-05-31,81
2026-06-01,127
2026-06-02,46
2026-06-03,55
2026-06-04,62
2026-06-05,72
2026-06-06,50
2026-06-07,65
2026-06-08,80
2026-06-09,56
2026-06-10,84
2026-06-11,77
2026-06-12,61
2026-06-13,63
2026-06-14,60
2026-06-15,77
2026-06-16,71
2026-06-17,63
2026-06-18,62
2026-06-19,55
2026-06-20,51
2026-06-21,56
2026-06-22,67
2026-06-23,51
2026-06-24,55
2026-06-25,75
2026-06-26,63
2026-06-27,43
2026-06-28,42
2026-06-29,51
2026-06-30,46
2026-07-01,38
2026-07-02,51
2026-07-03,58
2026-07-04,50
2026-07-05,60
2026-07-06,56
2026-07-07,53
2026-07-08,51
2026-07-09,54
2026-07-10,50
2026-07-11,50
2026-07-12,71
2026-07-13,48
2026-07-14,48
2026-07-15,62
2026-07-16,56
2026-07-17,68
2026-07-18,63
2026-07-19,47
2026-07-20,59
2026-07-21,46
2026-07-22,42
2026-07-23,62
2026-07-24,47
2026-07-25,49
2026-07-26,48
2026-07-27,75
2026-07-28,68
2026-07-29,55
2026-07-30,67
2026-07-31,51
2026-08-01,67
2026-08-02,41
2026-08-03,50
2026-08-04,57
2026-08-05,69
2026-08-06,53
2026-08-07,74
2026-08-08,51
2026-08-09,55
2026-08-10,77
2026-08-11,51
2026-08-12,67
2026-08-13,76
2026-08-14,74
2026-08-15,69
2026-08-16,65
2026-08-17,72
2026-08-18,67
2026-08-19,57
2026-08-20,55
2026-08-21,45
2026-08-22,57
2026-08-23,46
2026-08-24,44
2026-08-25,40
2026-08-26,43
2026-08-27,59
2026-08-28,56
2026-08-29,37
2026-08-30,57
2026-08-31,55
2026-09-01,58
2026-09-02,64
2026-09-03,50
2026-09-04,61
2026-09-05,55
2026-09-06,64
2026-09-07,49
2026-09-08,42
2026-09-09,92
2026-09-10,69
2026-09-11,62
2026-09-12,79
2026-09-13,68
2026-09-14,77
2026-09-15,61
2026-09-16,63
2026-09-17,57
2026-09-18,56
2026-09-19,66
2026-09-20,60
2026-09-21,43
2026-09-22,85
